"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rp1",1382.54473017258,1.80876041791647,0.135461950324958,13.3525348895203,1.14485713214208e-40,5.95325708713883e-39
"Ppp1r42",168.067207671257,1.90858670665571,0.238690096310201,7.99608670891527,1.28435949393301e-15,1.73417380726192e-14
"4930444P10Rik",515.790999744695,2.13135300946795,0.174165660326738,12.2375042558303,1.95966140876021e-34,7.91661065883024e-33
"Pi15",49.6206108976846,-2.55537205014173,0.393210776745736,-6.49873350697639,8.09989974019867e-11,7.11012227194542e-10
"Efhc1",2142.8949078118,2.01700161327861,0.0870388215693919,23.1735859575092,8.41002965524463e-119,9.7219942814628e-116
"Neurl3",377.526288438054,-1.69228354148615,0.204438238506293,-8.27772511566646,1.25550634465019e-16,1.81945509618159e-15
"Vwa3b",705.322772250626,1.84173275592591,0.166169457806313,11.0834613065455,1.50922891886892e-28,4.47350930823711e-27
"Creg2",183.439440499964,2.21852272568761,0.289410930741357,7.66564939342348,1.77928625658079e-14,2.20801931163469e-13
"Il18r1",3625.90137371986,1.62021962876486,0.109133220811421,14.8462550332364,7.35650360110654e-50,5.94373850093705e-48
"Fhl2",793.060151551604,1.68734717063118,0.109579076640707,15.3984430455071,1.67657699619696e-53,1.62552252250632e-51
"Ecrg4",406.704346164921,1.93978229522634,0.206822313233199,9.37897978657249,6.66141462253015e-21,1.29505483761168e-19
"Dnah7b",445.444015574063,2.00788174818388,0.166675906975886,12.0466226019959,2.02060785312233e-33,7.74635071855162e-32
"Dnah7c",325.903328178989,1.50637874623168,0.256623100079365,5.87000447647076,4.35783372676799e-09,3.1821926747264e-08
"Dnah7a",141.127170043708,1.6810911009882,0.387942167143416,4.33335492598495,1.46854066103974e-05,6.60953251096291e-05
"Ccdc150",134.815626833975,1.81942710378046,0.291899440947422,6.23306128259486,4.57407126853697e-10,3.70961376274008e-09
"Plcl1",36.9337709031985,-1.92005524585859,0.526980774264016,-3.64350150826689,0.000268954075507464,0.000965331226827362
"Gm973",1749.70188130438,1.8970259827351,0.122422239437223,15.4957627915953,3.70536841534772e-54,3.66343924643721e-52
"Mdh1b",751.050863350826,1.87025201925422,0.158106740932976,11.8290466821212,2.76261477081586e-32,1.00281581584108e-30
"Spag16",451.148271009236,1.82226353099794,0.350571262396016,5.19798319617952,2.01462335036793e-07,1.20924432873917e-06
"Fn1",19248.5345503228,3.53725202719548,0.2624683442898,13.4768710366454,2.13991052431352e-41,1.15678328630876e-39
"Marchf4",521.149574210882,1.74217895714566,0.14581007422978,11.9482756342349,6.62863139123439e-33,2.49658861358828e-31
"Igfbp2",881.693280689427,3.09900055939777,0.749122369406131,4.13684157082977,3.52119045952939e-05,0.000148850774193552
"Igfbp5",88771.891930573,2.04504980083446,0.0824191458561558,24.8128002248851,6.52262202435645e-136,1.03867659675961e-132
"C530043A13Rik",302.267408274788,2.06777445923273,0.216192050963303,9.56452584643694,1.12716955908273e-21,2.28289813125272e-20
"Catip",1379.64836344124,2.00313451733696,0.24356816413339,8.22412290400953,1.96624391204958e-16,2.82762808710824e-15
"Cfap65",4809.29709470354,2.26337523620034,0.224767813272135,10.0698369719867,7.51024688098396e-24,1.73370184527538e-22
"Ptprn",20.1046692453288,1.79301608876727,0.688057746556457,2.60590931174139,0.00916307190394124,0.0225740255956509
"Scg2",33.2496546133453,2.27851466128895,0.654720136424485,3.48013530442523,0.000501160613942259,0.00169017991614099
"Ccl20",1939.09221658834,-1.55865555622597,0.108797769173702,-14.3261720167946,1.5017305297621e-46,1.05457973837686e-44
"Daw1",192.230980512211,1.77889429526395,0.28779828663748,6.18104546780955,6.36784713221016e-10,5.08480375679354e-09
"Dner",17.3588212886907,1.77891218025502,0.657190228976734,2.70684514440338,0.00679259337807335,0.0173751648145849
"B3gnt7",38.6634777770798,1.53146294760208,0.486872518987777,3.14551117156097,0.00165796862755308,0.00497125948421142
"Efhd1",45.3137795278699,2.87620389740463,0.539829880960496,5.3279820159031,9.93099544112442e-08,6.19779898211038e-07
"Gm29538",303.925895219711,1.90254420754368,0.213262345189313,8.9211445454883,4.61493816531489e-19,7.8900217006089e-18
"Iqca",1151.31911876668,2.46652176585516,0.241083338069582,10.2309922602086,1.44035923156582e-24,3.44677046687437e-23
"1700020N18Rik",72.1211061936002,1.74413243149798,0.366645403743686,4.75700067064598,1.96490516934244e-06,1.02743893127621e-05
"Ankmy1",414.920056597724,2.9184956928205,0.233254663864238,12.5120571844992,6.41412766905475e-36,2.76987099455617e-34
"Crocc2",4886.73411527781,1.96189076716767,0.100540882468359,19.5133633105429,8.45331738282899e-85,2.44300872363758e-82
"Serpinb3a",35.6754536065752,-2.93945404944223,0.566591271534695,-5.18796211152404,2.12607844765125e-07,1.27040584140369e-06
"Gm15391",21.2555310326036,1.82749906169292,0.610151049889053,2.99515843171166,0.00274302325963247,0.00778657981597218
"Serpinb7",282.121744896823,2.78532673269726,0.258804638685702,10.7622751541166,5.18734082656033e-27,1.40460104399187e-25
